action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
5708;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Conseil départemental d'Indre et Loire
5708;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Conseil départemental d'Indre et Loire
5708;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;Conseil départemental d'Indre et Loire
5708;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;Conseil départemental d'Indre et Loire
5708;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;Conseil départemental d'Indre et Loire
5708;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;Conseil départemental d'Indre et Loire
5709;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
5709;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5709;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
5709;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
5709;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
5709;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
5709;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
5713;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5713;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
5713;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
5713;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
5713;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5713;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5713;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5713;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Famille, enfance et droits des femmes, Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé;;
5713;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
5713;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
5714;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5714;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
5714;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
5714;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5714;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Famille, enfance et droits des femmes, Affaires sociales et santé;;
5714;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
5714;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
5715;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
5715;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
5716;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
5716;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
5717;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5717;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
5717;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5717;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
5717;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
5717;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
5718;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5718;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
5718;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5718;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
5719;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
5719;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5719;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication, Economie et finances;;
5719;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
5719;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
5720;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
5720;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
5721;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
5721;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5721;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5721;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication, Agriculture, agroalimentaire et forêt;;
5722;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
5722;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
5723;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5723;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
5723;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5723;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
5723;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
5723;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
5724;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
5724;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
5725;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
5725;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
5726;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
5726;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
5726;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Conseil supérieur de l'audiovisuel;
5726;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Conseil supérieur de l'audiovisuel;;
5742;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5742;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5742;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
5742;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5742;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5742;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5742;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5742;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social, Aménagement du territoire, ruralité et collectivités territoriales;;
5743;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5743;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5743;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5744;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5744;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5744;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
5744;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5744;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5744;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5744;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5744;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social, Aménagement du territoire, ruralité et collectivités territoriales;;
5745;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5745;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5745;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5745;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5745;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
5746;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5746;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5746;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5746;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5746;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
5747;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5747;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5747;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5748;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5748;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5748;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5749;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5749;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5749;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5750;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5750;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5750;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5750;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5750;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
5751;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5751;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5751;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5752;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5752;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5752;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5752;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5752;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
5753;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5753;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5753;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5753;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5753;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
5754;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5754;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5754;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
5754;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
5754;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
5755;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5755;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5755;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5756;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5756;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5756;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5757;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5757;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
5757;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement;;
5758;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
5758;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5758;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Economie et finances;;
5759;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
5759;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
5760;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
5760;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5760;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Affaires sociales et santé;;
5761;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5761;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5761;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5761;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5761;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
5762;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5762;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5762;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5762;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5762;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
5763;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5763;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5763;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5763;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
5764;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5764;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5764;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5764;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5764;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
5768;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5768;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5768;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5768;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
5770;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5770;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5770;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5770;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5770;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
5770;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
5770;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
5771;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5771;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5771;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5771;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5771;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
5772;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
5772;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5772;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5772;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
5773;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5773;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5773;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5773;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5773;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
5774;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5774;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5774;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5774;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5774;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5774;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
5774;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
5774;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5774;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5774;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
5774;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Economie et finances, Education nationale, enseignement supérieur et recherche, Environnement, énergie et mer, Affaires étrangères et développement international;;
5775;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5775;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5775;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5775;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5775;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
5775;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
5775;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5775;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5775;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
5775;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Education nationale, enseignement supérieur et recherche, Environnement, énergie et mer, Affaires étrangères et développement international;;
5780;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5780;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5780;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5781;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5781;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5781;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5782;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
5782;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5782;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5782;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
5783;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5783;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
5784;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5784;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
5785;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5785;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
5786;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5786;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
5790;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
5790;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
5792;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
5792;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
5793;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
5793;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
5798;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
5798;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
5800;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5800;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
5801;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5801;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5801;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5801;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
5802;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5802;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
5804;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
5804;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5804;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
5806;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Cabinet du Premier ministre - Cabinet du Ministre de l'Action et des Comptes Publics - Cabinet du Secrétaire d’État au numérique
5806;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Cabinet du Premier ministre - Cabinet du Ministre de l'Action et des Comptes Publics - Cabinet du Secrétaire d’État au numérique
5806;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Cabinet du Premier ministre - Cabinet du Ministre de l'Action et des Comptes Publics - Cabinet du Secrétaire d’État au numérique
5806;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Autres : à préciser;;Cabinet du Premier ministre - Cabinet du Ministre de l'Action et des Comptes Publics - Cabinet du Secrétaire d’État au numérique
5807;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5807;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
5807;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
5807;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5807;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
5807;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Intérieur, Economie et finances, Affaires étrangères et développement international;;
5808;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5808;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
5810;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5810;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5810;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
5813;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5813;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5813;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5813;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
5814;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
5814;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5814;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
5815;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5815;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
5816;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
5816;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5816;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
5818;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5818;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5818;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
5819;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5819;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5819;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5819;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5819;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5819;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5819;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
5819;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances, Environnement, énergie et mer, Affaires étrangères et développement international;;
5820;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5820;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5820;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5820;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5820;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5820;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Economie et finances;;
5821;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5821;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5821;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5821;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5821;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
5822;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5822;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
5822;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
5822;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5822;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
5823;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5823;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
5823;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
5823;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
5823;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer, Affaires étrangères et développement international;;
5824;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
5824;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
