action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
42;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
42;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
42;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
42;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
43;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
43;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
44;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
44;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
46;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
46;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
46;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
46;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
52;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
52;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
52;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
52;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
53;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
53;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
54;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
54;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
54;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
54;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
55;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
